location,total_cases,total_deaths,population
Afghanistan,235214.0,7998.0,41128772.0
Africa,13145380.0,259117.0,1426736614.0
Albania,335047.0,3605.0,2842318.0
Algeria,272139.0,6881.0,44903228.0
American Samoa,8359.0,34.0,44295.0
Andorra,48015.0,159.0,79843.0
Angola,107481.0,1937.0,35588996.0
Anguilla,3904.0,12.0,15877.0
Antigua and Barbuda,9106.0,146.0,93772.0
Argentina,10101218.0,130663.0,45510324.0
Armenia,452273.0,8777.0,2780472.0
Aruba,44224.0,292.0,106459.0
Asia,301499099.0,1637249.0,4721383370.0
Australia,11861161.0,25236.0,26177410.0
Austria,6082444.0,22534.0,8939617.0
Azerbaijan,835757.0,10353.0,10358078.0
Bahamas,39127.0,849.0,409989.0
Bahrain,696614.0,1536.0,1472237.0
Bangladesh,2051348.0,29499.0,171186368.0
Barbados,108582.0,593.0,281646.0
Belarus,994037.0,7118.0,9534956.0
Belgium,4872829.0,34339.0,11655923.0
Belize,71414.0,688.0,405285.0
Benin,28036.0,163.0,13352864.0
Bermuda,18860.0,165.0,64207.0
Bhutan,62697.0,21.0,782457.0
Bolivia,1212147.0,22387.0,12224114.0
Bonaire Sint Eustatius and Saba,11922.0,41.0,27052.0
Bosnia and Herzegovina,403666.0,16392.0,3233530.0
Botswana,330696.0,2801.0,2630300.0
Brazil,37511921.0,702116.0,215313504.0
British Virgin Islands,7557.0,64.0,31332.0
Brunei,347723.0,179.0,449002.0
Bulgaria,1329988.0,38700.0,6781955.0
Burkina Faso,22139.0,400.0,22673764.0
Burundi,54569.0,15.0,12889583.0
Cambodia,139319.0,3056.0,16767851.0
Cameroon,125246.0,1974.0,27914542.0
Canada,4819055.0,55282.0,38454328.0
Cape Verde,64474.0,417.0,593162.0
Cayman Islands,31472.0,37.0,68722.0
Central African Republic,15441.0,113.0,5579148.0
Chad,7702.0,194.0,17723312.0
Chile,5401126.0,62730.0,19603736.0
China,99373219.0,122304.0,1425887360.0
Colombia,6391876.0,142727.0,51874028.0
Comoros,9109.0,160.0,836783.0
Congo,25227.0,389.0,5970430.0
Cook Islands,7345.0,2.0,17032.0
Costa Rica,1234701.0,9372.0,5180836.0
Cote d'Ivoire,88434.0,835.0,28160548.0
Croatia,1317144.0,18752.0,4030361.0
Cuba,1113662.0,8530.0,11212198.0
Curacao,45883.0,305.0,191173.0
Cyprus,696410.0,1451.0,896007.0
Czechia,4761919.0,43509.0,10493990.0
Democratic Republic of Congo,101009.0,1474.0,99010216.0
Denmark,3435679.0,9693.0,5882259.0
Djibouti,15690.0,189.0,1120851.0
Dominica,16047.0,74.0,72758.0
Dominican Republic,661103.0,4384.0,11228821.0
East Timor,23460.0,138.0,1341298.0
Ecuador,1077445.0,36050.0,18001002.0
Egypt,516023.0,24830.0,110990096.0
El Salvador,201920.0,4230.0,6336393.0
Equatorial Guinea,17130.0,183.0,1674916.0
Eritrea,10189.0,103.0,3684041.0
Estonia,610471.0,2998.0,1326064.0
Eswatini,75356.0,1427.0,1201680.0
Ethiopia,501193.0,7574.0,123379928.0
Europe,252916868.0,2102483.0,744807803.0
European Union (27),185822587.0,1262988.0,450146793.0
Falkland Islands,1923.0,0.0,3801.0
Faroe Islands,34658.0,28.0,53117.0
Fiji,69047.0,885.0,929769.0
Finland,1499712.0,11466.0,5540745.0
France,38997490.0,168091.0,67813000.0
French Guiana,98041.0,413.0,304568.0
French Polynesia,79387.0,650.0,306292.0
Gabon,49051.0,307.0,2388997.0
Gambia,12627.0,372.0,2705995.0
Georgia,1863615.0,17150.0,3744385.0
Germany,38437756.0,174979.0,83369840.0
Ghana,172062.0,1462.0,33475870.0
Gibraltar,20550.0,113.0,32677.0
Greece,5673681.0,39258.0,10384972.0
Greenland,11971.0,21.0,56494.0
Grenada,19693.0,238.0,125459.0
Guadeloupe,203235.0,1021.0,395762.0
Guam,52287.0,419.0,171783.0
Guatemala,1250371.0,20203.0,17843914.0
Guernsey,35326.0,67.0,63329.0
Guinea,38572.0,468.0,13859349.0
Guinea-Bissau,9614.0,177.0,2105580.0
Guyana,74443.0,1302.0,808727.0
Haiti,34456.0,860.0,11585003.0
High-income countries,429044049.0,2997359.0,1250514600.0
Honduras,472896.0,11114.0,10432858.0
Hungary,2230800.0,49053.0,9967304.0
Iceland,210374.0,186.0,372903.0
India,45041748.0,533623.0,1417173120.0
Indonesia,6829399.0,162059.0,275501344.0
Iran,7627863.0,146837.0,88550568.0
Iraq,2465545.0,25375.0,44496124.0
Ireland,1745088.0,9744.0,5023108.0
Isle of Man,38008.0,116.0,84534.0
Israel,4841558.0,12707.0,9449000.0
Italy,26781078.0,197307.0,59037472.0
Jamaica,157181.0,3611.0,2827382.0
Japan,33803572.0,74694.0,123951696.0
Jersey,66391.0,161.0,110796.0
Jordan,1746997.0,14122.0,11285875.0
Kazakhstan,1504370.0,19072.0,19397998.0
Kenya,344106.0,5689.0,54027484.0
Kiribati,5085.0,24.0,131237.0
Kosovo,274279.0,3212.0,1782115.0
Kuwait,667290.0,2570.0,4268886.0
Kyrgyzstan,88953.0,1024.0,6630621.0
Laos,219060.0,671.0,7529477.0
Latvia,977765.0,7475.0,1850654.0
Lebanon,1239904.0,10947.0,5489744.0
Lesotho,36138.0,709.0,2305826.0
Liberia,7930.0,294.0,5302690.0
Libya,507269.0,6437.0,6812344.0
Liechtenstein,21588.0,89.0,39355.0
Lithuania,1369355.0,9810.0,2750058.0
Low-income countries,1944334.0,43529.0,737604900.0
Lower-middle-income countries,91954400.0,1188026.0,3432097300.0
Luxembourg,393542.0,1000.0,647601.0
Madagascar,68567.0,1428.0,29611718.0
Malawi,89168.0,2686.0,20405318.0
Malaysia,5309410.0,37351.0,33938216.0
Maldives,186694.0,316.0,523798.0
Mali,33166.0,743.0,22593598.0
Malta,122796.0,922.0,533293.0
Marshall Islands,16297.0,17.0,41593.0
Martinique,230354.0,1104.0,367512.0
Mauritania,63872.0,997.0,4736146.0
Mauritius,328167.0,1073.0,1299478.0
Mayotte,42027.0,187.0,326113.0
Mexico,7619458.0,334551.0,127504120.0
Micronesia (country),31765.0,65.0,114178.0
Moldova,637520.0,12245.0,3272993.0
Monaco,17181.0,67.0,36491.0
Mongolia,1011489.0,2136.0,3398373.0
Montenegro,251280.0,2654.0,627082.0
Montserrat,1403.0,8.0,4413.0
Morocco,1279115.0,16305.0,37457976.0
Mozambique,233843.0,2252.0,32969520.0
Myanmar,642885.0,19494.0,54179312.0
Namibia,172533.0,4108.0,2567024.0
Nauru,5393.0,1.0,12691.0
Nepal,1003450.0,12031.0,30547586.0
Netherlands,8640008.0,22986.0,17564020.0
New Caledonia,80163.0,314.0,289959.0
New Zealand,2639048.0,4284.0,5185289.0
Nicaragua,16185.0,245.0,6948395.0
Niger,9518.0,315.0,26207982.0
Nigeria,267188.0,3155.0,218541216.0
Niue,1074.0,0.0,1952.0
North America,124492666.0,1671178.0,600323657.0
North Korea,0.0,0.0,26069416.0
North Macedonia,350924.0,9978.0,2093606.0
Northern Mariana Islands,14912.0,41.0,49574.0
Norway,1512647.0,5732.0,5434324.0
Oceania,15003352.0,32918.0,45038860.0
Oman,399449.0,4628.0,4576300.0
Pakistan,1580631.0,30656.0,235824864.0
Palau,6372.0,10.0,18084.0
Palestine,703228.0,5708.0,5250076.0
Panama,1044821.0,8748.0,4408582.0
Papua New Guinea,46864.0,670.0,10142625.0
Paraguay,735759.0,19880.0,6780745.0
Peru,4526977.0,220975.0,34049588.0
Philippines,4140383.0,66864.0,115559008.0
Pitcairn,4.0,0.0,47.0
Poland,6670799.0,120726.0,39857144.0
Portugal,5664109.0,28809.0,10270857.0
Puerto Rico,1252713.0,5938.0,3252412.0
Qatar,514524.0,690.0,2695131.0
Reunion,494595.0,921.0,974062.0
Romania,3541619.0,68825.0,19659270.0
Russia,24268728.0,403188.0,144713312.0
Rwanda,133264.0,1468.0,13776702.0
Saint Barthelemy,5507.0,5.0,10994.0
Saint Helena,2166.0,0.0,5401.0
Saint Kitts and Nevis,6607.0,46.0,47681.0
Saint Lucia,30282.0,410.0,179872.0
Saint Martin (French part),12324.0,46.0,31816.0
Saint Pierre and Miquelon,3426.0,2.0,5885.0
Saint Vincent and the Grenadines,9674.0,124.0,103959.0
Samoa,17057.0,31.0,222390.0
San Marino,25292.0,126.0,33690.0
Sao Tome and Principe,6771.0,80.0,227393.0
Saudi Arabia,841469.0,9646.0,36408824.0
Senegal,89485.0,1971.0,17316452.0
Serbia,2583470.0,18057.0,6871547.0
Seychelles,51886.0,172.0,107135.0
Sierra Leone,7979.0,125.0,8605723.0
Singapore,3006155.0,2024.0,5637022.0
Sint Maarten (Dutch part),11051.0,92.0,44192.0
Slovakia,1878002.0,21227.0,5643455.0
Slovenia,1356582.0,10083.0,2119843.0
Solomon Islands,25954.0,199.0,724272.0
Somalia,27334.0,1361.0,17597508.0
South Africa,4072765.0,102595.0,59893884.0
South America,68809418.0,1354187.0,436816679.0
South Korea,34571873.0,35934.0,51815808.0
South Sudan,18823.0,147.0,10913172.0
Spain,13980340.0,121852.0,47558632.0
Sri Lanka,672798.0,16907.0,21832150.0
Sudan,63993.0,5046.0,46874200.0
Suriname,82501.0,1406.0,618046.0
Sweden,2755181.0,27399.0,10549349.0
Switzerland,4457868.0,14170.0,8740471.0
Syria,57423.0,3163.0,22125242.0
Tajikistan,17786.0,125.0,9952789.0
Tanzania,43230.0,846.0,65497752.0
Thailand,4799180.0,34715.0,71697024.0
Togo,39530.0,290.0,8848700.0
Tokelau,80.0,0.0,1893.0
Tonga,16976.0,12.0,106867.0
Trinidad and Tobago,191496.0,4390.0,1531043.0
Tunisia,1153361.0,29423.0,12356116.0
Turkey,17004718.0,101419.0,85341248.0
Turkmenistan,0.0,0.0,6430777.0
Turks and Caicos Islands,6805.0,40.0,45726.0
Tuvalu,2943.0,1.0,11335.0
Uganda,172154.0,3632.0,47249588.0
Ukraine,5532777.0,109920.0,39701744.0
United Arab Emirates,1067030.0,2349.0,9441138.0
United Kingdom,24974629.0,232112.0,67508936.0
United States,103436829.0,1193165.0,338289856.0
United States Virgin Islands,25389.0,132.0,99479.0
Upper-middle-income countries,251753518.0,2824452.0,2525921300.0
Uruguay,1041346.0,7682.0,3422796.0
Uzbekistan,175081.0,1016.0,34627648.0
Vanuatu,12019.0,14.0,326744.0
Vatican,26.0,0.0,808.0
Venezuela,552695.0,5856.0,28301700.0
Vietnam,11624000.0,43206.0,98186856.0
Wallis and Futuna,3760.0,9.0,11596.0
World,775866783.0,7057132.0,7975105024.0
Yemen,11945.0,2159.0,33696612.0
Zambia,349842.0,4077.0,20017670.0
Zimbabwe,266386.0,5740.0,16320539.0
